,To_Country,Year,Total_Points,Albania,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Latvia,Lithuania,Luxembourg,Malta,"Moldova, Republic of",Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russian Federation,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
28,Spain,2022,459,12,20,18,3,15,NaN,16,NaN,16,13,14,13,5,1,3,12,11,10,17,NaN,6,17,11,,NaN,4,11,NaN,19,11,NaN,16,12,22,8,7,22,9,NaN,22,14,NaN,5,,14,14,NaN,1,15
29,Sweden,2022,438,8,12,15,13,12,NaN,12,NaN,,9,5,15,17,22,20,,8,12,4,NaN,20,13,17,5,NaN,16,13,NaN,15,13,NaN,8,3,10,16,20,7,16,NaN,8,6,NaN,5,13,,10,NaN,4,16
30,Serbia,2022,312,3,6,16,10,6,NaN,6,NaN,10,24,11,10,,,14,8,7,7,8,NaN,1,6,7,11,NaN,2,1,NaN,6,,NaN,24,3,22,3,5,8,7,NaN,8,,NaN,18,8,12,12,NaN,,2
31,Italy,2022,268,20,10,4,6,15,NaN,12,NaN,3,10,6,,,10,2,3,10,3,8,NaN,6,6,11,,NaN,,7,NaN,17,,NaN,16,,13,,4,3,8,NaN,8,4,NaN,18,15,,10,NaN,,
32,Moldova,2022,253,1,6,4,7,,NaN,8,NaN,7,8,,8,5,6,5,10,8,10,9,NaN,6,7,6,15,NaN,7,5,NaN,,,NaN,7,12,7,4,7,8,12,NaN,4,12,NaN,7,7,,4,NaN,6,8
33,Greece,2022,215,12,5,,4,6,NaN,,NaN,18,3,22,3,12,6,6,3,4,,,NaN,,,,10,NaN,7,,NaN,1,,NaN,,12,,19,2,4,2,NaN,17,,NaN,12,2,,12,NaN,7,4
34,Portugal,2022,207,1,12,6,10,7,NaN,6,NaN,4,10,,5,8,7,,7,7,,3,NaN,5,4,,1,NaN,6,15,NaN,,2,NaN,9,8,,10,8,,7,NaN,,7,NaN,3,4,,12,NaN,10,3
35,Norway,2022,182,,,10,10,7,NaN,,NaN,3,5,,5,8,4,10,,,4,6,NaN,18,4,4,4,NaN,10,2,NaN,4,6,NaN,2,8,2,,4,2,2,NaN,2,8,NaN,3,3,13,1,NaN,2,6
36,Netherlands,2022,171,12,4,,8,4,NaN,10,NaN,,2,,,10,4,5,4,4,8,4,NaN,9,,3,14,NaN,4,7,NaN,,,NaN,3,,,5,3,11,3,NaN,,,NaN,8,,1,10,NaN,11,
37,Poland,2022,151,,,3,4,3,NaN,7,NaN,,,3,7,4,,,12,2,8,10,NaN,4,10,7,3,NaN,,,NaN,6,,NaN,4,6,2,5,,,,NaN,4,,NaN,,1,5,1,NaN,12,18
38,Estonia,2022,141,5,15,1,,,NaN,,NaN,,2,,12,3,,10,,,,,NaN,,,,,NaN,8,8,NaN,5,12,NaN,3,1,3,2,8,,5,NaN,,16,NaN,,,10,,NaN,5,7
39,Lithuania,2022,128,,2,2,,,NaN,,NaN,,10,2,,10,9,2,,5,,,NaN,3,8,,,NaN,11,,NaN,,4,NaN,2,,1,12,2,6,,NaN,,5,NaN,12,,3,,NaN,10,7
40,Australia,2022,125,,,,,2,NaN,1,NaN,,,8,1,,8,8,,,5,8,NaN,,2,5,2,NaN,2,,NaN,6,6,NaN,,7,5,,6,,6,NaN,6,,NaN,,8,10,4,NaN,3,6
41,Azerbaijan,2022,106,3,,2,,,NaN,3,NaN,3,,10,,,3,3,,3,6,12,NaN,,,,,NaN,,,NaN,2,1,NaN,1,,4,,,,,NaN,7,12,NaN,,12,7,,NaN,5,7
42,Switzerland,2022,78,,,,1,,NaN,,NaN,7,1,,6,2,,,,,2,,NaN,,,,3,NaN,3,7,NaN,,7,NaN,,10,1,1,5,2,5,NaN,1,,NaN,5,1,,,NaN,6,2
43,Romania,2022,65,,,,,,NaN,,NaN,4,,4,,,,,1,,1,9,NaN,,2,,8,NaN,,,NaN,3,10,NaN,,,,,,,,NaN,1,5,NaN,,14,,,NaN,,3
44,Belgium,2022,64,2,,5,,,NaN,,NaN,6,,2,,,,,6,,,,NaN,,,4,7,NaN,,,NaN,,5,NaN,,10,3,,,,,NaN,,8,NaN,,5,1,,NaN,,
45,Armenia,2022,61,4,,,6,,NaN,,NaN,10,,1,,,,1,12,10,,,NaN,,,,8,NaN,,,NaN,,,NaN,,,,4,,1,,NaN,,,NaN,,,2,,NaN,2,
46,Finland,2022,38,2,,,,,NaN,,NaN,,,,1,,13,,,2,,,NaN,,,,1,NaN,1,,NaN,1,,NaN,,,,,,,,NaN,,6,NaN,,,7,,NaN,4,
47,Czechia,2022,38,,,4,,,NaN,2,NaN,,,,,,,,2,,,2,NaN,2,7,2,,NaN,,,NaN,3,,NaN,,,5,,,,,NaN,,3,NaN,,,5,,NaN,1,
48,Iceland,2022,20,,,,,,NaN,,NaN,,,,,3,,,,,,,NaN,,1,,,NaN,,2,NaN,,,NaN,,,,,,6,,NaN,,,NaN,,,,,NaN,8,
49,France,2022,17,,7,,,1,NaN,,NaN,,1,,,,,1,,1,,1,NaN,,,,,NaN,,,NaN,,2,NaN,,,,,,,1,NaN,,2,NaN,,,,,NaN,,
50,Germany,2022,6,,,,2,,NaN,,NaN,,,,,,2,,,,,,NaN,,,,,NaN,,,NaN,,,NaN,,,,,,,,NaN,,,NaN,,,,2,NaN,,
51,Italy,2021,524,14,NaN,13,14,10,NaN,10,NaN,22,22,18,12,5,11,14,10,20,13,14,NaN,12,6,7,,NaN,15,20,NaN,12,8,NaN,NaN,2,18,12,15,10,13,20,22,20,NaN,22,10,13,18,NaN,24,3
52,France,2021,499,16,NaN,11,14,6,NaN,12,NaN,17,13,15,12,3,17,13,,5,22,13,NaN,13,19,16,4,NaN,6,13,NaN,6,10,NaN,NaN,24,12,8,5,18,12,6,22,22,NaN,8,24,12,18,NaN,15,17
53,Switzerland,2021,432,24,NaN,15,15,4,NaN,16,NaN,3,13,2,8,18,14,19,13,10,12,4,NaN,18,8,18,,NaN,16,14,NaN,10,7,NaN,NaN,12,13,9,14,13,12,6,7,2,NaN,12,17,10,,NaN,15,9
54,Iceland,2021,378,,NaN,20,22,,NaN,8,NaN,,14,,15,22,11,20,7,7,9,,NaN,,18,1,14,NaN,15,7,NaN,5,5,NaN,NaN,18,4,12,18,11,,1,,12,NaN,13,12,17,10,NaN,10,20
55,Ukraine,2021,364,4,NaN,15,7,14,NaN,20,NaN,6,8,6,10,1,9,10,12,13,9,6,NaN,11,14,16,13,NaN,13,24,NaN,6,10,NaN,NaN,8,4,8,12,12,12,7,5,8,NaN,7,6,12,2,NaN,,4
56,Finland,2021,301,6,NaN,3,5,5,NaN,14,NaN,9,6,7,5,15,19,,1,,8,6,NaN,17,5,4,18,NaN,12,7,NaN,9,5,NaN,NaN,4,2,6,8,5,14,8,5,17,NaN,8,2,12,5,NaN,8,11
57,Malta,2021,255,8,NaN,20,6,7,NaN,7,NaN,5,3,11,7,6,1,1,,1,8,9,NaN,4,14,10,7,NaN,2,3,NaN,,7,NaN,NaN,8,5,15,4,4,14,4,7,,NaN,5,11,14,6,NaN,5,6
58,Lithuania,2021,220,,NaN,6,3,,NaN,7,NaN,,2,5,1,4,12,8,,13,13,,NaN,4,16,13,17,NaN,18,,NaN,6,2,NaN,NaN,3,,12,4,,3,2,6,,NaN,,6,7,5,NaN,10,12
59,Russia,2021,204,,NaN,1,,18,NaN,7,NaN,7,7,9,7,,6,5,10,4,7,3,NaN,2,,17,7,NaN,11,4,NaN,,22,NaN,NaN,8,2,,3,11,,,1,6,NaN,9,,3,3,NaN,4,
60,Greece,2021,170,14,NaN,,,10,NaN,,NaN,10,,24,8,,,2,12,12,,,NaN,4,,,,NaN,,,NaN,6,15,NaN,NaN,10,,1,,2,,7,15,6,NaN,11,1,,,NaN,,
61,Bulgaria,2021,170,5,NaN,2,5,1,NaN,6,NaN,,,12,4,6,6,10,,4,,8,NaN,8,1,1,,NaN,5,2,NaN,,12,NaN,NaN,,,6,,12,2,6,5,6,NaN,,12,,10,NaN,,13
62,Portugal,2021,153,,NaN,,7,2,NaN,1,NaN,6,1,1,12,,5,,16,8,,,NaN,12,2,,6,NaN,,6,NaN,7,2,NaN,NaN,6,,,8,,10,,,5,NaN,,6,,15,NaN,2,7
63,Moldova,2021,115,7,NaN,,,9,NaN,,NaN,12,,,12,,,2,7,2,,10,NaN,,,,2,NaN,,,NaN,,,NaN,NaN,,,,,8,18,15,11,,NaN,,,,,NaN,,
64,Sweden,2021,109,1,NaN,,,5,NaN,7,NaN,1,,,,12,1,8,3,,4,,NaN,10,1,,,NaN,1,1,NaN,16,3,NaN,NaN,,3,18,1,4,,,,4,NaN,,,,3,NaN,2,
65,Serbia,2021,102,1,NaN,2,12,,NaN,,NaN,5,19,,,,,,3,,3,,NaN,,,,4,NaN,,,NaN,4,,NaN,NaN,,24,,,,,,,,NaN,12,,1,12,NaN,,
66,Cyprus,2021,94,9,NaN,4,,,NaN,,NaN,,,,,,,,2,,7,24,NaN,,,3,,NaN,,,NaN,6,1,NaN,NaN,,8,,,,,14,8,2,NaN,,6,,,NaN,,
67,Israel,2021,93,,NaN,,,12,NaN,,NaN,3,5,2,,1,,,10,,,,NaN,,,,4,NaN,,1,NaN,,,NaN,NaN,4,8,8,6,,1,5,,2,NaN,1,3,4,,NaN,7,6
68,Norway,2021,75,,NaN,1,1,7,NaN,1,NaN,,,,,11,4,4,,,1,,NaN,1,7,,2,NaN,2,5,NaN,10,,NaN,NaN,,,,3,,,,,,NaN,2,,10,,NaN,1,2
69,Belgium,2021,74,,NaN,,,3,NaN,,NaN,,,4,3,,,,6,,,3,NaN,,3,6,5,NaN,,9,NaN,,,NaN,NaN,6,,,3,5,,3,,,NaN,6,,1,,NaN,7,1
70,Azerbaijan,2021,65,2,NaN,,,,NaN,,NaN,4,2,,,,,,,8,,2,NaN,,2,4,,NaN,,,NaN,,7,NaN,NaN,2,3,1,,,4,12,,4,NaN,,,,2,NaN,6,
71,Albania,2021,57,,NaN,,,,NaN,,NaN,,1,,,7,,,,,,7,NaN,,,,10,NaN,,,NaN,12,,NaN,NaN,1,10,,,,,,2,,NaN,,,,7,NaN,,
72,San Marino,2021,50,5,NaN,,,3,NaN,,NaN,,,,,5,,,4,7,,7,NaN,,,,3,NaN,,,NaN,1,,NaN,NaN,,,,12,,,,,,NaN,,,,,NaN,,3
73,Netherlands,2021,11,,NaN,3,3,,NaN,,NaN,2,,,,,,,,2,,,NaN,,,,,NaN,,,NaN,,,NaN,NaN,,,,,1,,,,,NaN,,,,,NaN,,
74,Spain,2021,6,,NaN,,,,NaN,,NaN,4,,,,,,,,,,,NaN,,,,,NaN,,,NaN,,,NaN,NaN,,,,,,,,,,NaN,,,,,NaN,,2
75,Germany,2021,3,,NaN,,2,,NaN,,NaN,,,,,,,,,,,,NaN,,,,,NaN,,,NaN,,,NaN,NaN,,,,,,1,,,,NaN,,,,,NaN,,
76,United Kingdom,2021,0,,NaN,,,,NaN,,NaN,,,,,,,,,,,,NaN,,,,,NaN,,,NaN,,,NaN,NaN,,,,,,,,,,NaN,,,,,NaN,,
77,Netherlands,2019,498,7,16,12,15,7,16,18,NaN,NaN,10,11,10,14,15,13,17,13,15,6,9,12,16,14,5,NaN,17,19,NaN,17,9,NaN,1,,14,15,10,20,17,5,9,3,NaN,11,16,18,16,NaN,NaN,10
78,Italy,2019,472,13,15,5,17,11,10,20,NaN,NaN,24,16,10,4,,8,18,1,18,17,11,9,5,18,,NaN,5,13,NaN,24,5,NaN,7,16,15,10,7,13,8,1,20,17,NaN,16,16,12,17,NaN,NaN,
79,Russia,2019,370,13,17,4,5,24,13,1,NaN,NaN,2,20,12,3,18,4,3,8,8,18,7,,8,12,8,NaN,16,13,NaN,14,17,NaN,20,5,6,1,3,10,13,,22,8,NaN,,4,3,3,NaN,NaN,4
80,Switzerland,2019,364,14,15,7,22,8,8,12,NaN,NaN,14,8,5,12,14,5,4,3,16,7,8,12,17,10,3,NaN,1,2,NaN,8,4,NaN,,16,7,12,5,6,14,2,7,11,NaN,9,13,11,,NaN,NaN,12
81,Sweden,2019,334,6,14,20,6,,2,2,NaN,NaN,5,7,12,22,15,19,10,8,3,,4,20,14,6,2,NaN,10,11,NaN,11,2,NaN,,20,,20,,2,1,,,8,NaN,7,18,,12,NaN,NaN,15
82,Norway,2019,331,5,5,12,9,1,8,7,NaN,NaN,5,1,10,17,10,10,8,,17,,10,12,18,10,10,NaN,8,8,NaN,7,10,NaN,,12,5,,9,10,4,10,3,4,NaN,6,7,16,15,NaN,NaN,12
83,North Macedonia,2019,305,18,10,7,12,11,10,,NaN,NaN,17,,7,10,,7,7,2,7,1,10,8,5,,10,NaN,8,,NaN,8,12,NaN,13,4,,10,8,5,7,4,1,24,NaN,14,,2,14,NaN,NaN,12
84,Azerbaijan,2019,302,11,,3,5,,11,,NaN,NaN,,6,12,9,6,2,6,17,,8,7,4,7,10,8,NaN,10,15,NaN,10,16,NaN,3,4,5,8,4,8,16,24,8,3,NaN,10,8,8,,NaN,NaN,10
85,Australia,2019,284,3,1,,3,2,2,8,NaN,NaN,,2,8,2,2,16,10,,15,5,,20,14,11,12,NaN,6,3,NaN,3,10,NaN,4,4,10,4,18,11,14,4,,7,NaN,2,15,11,4,NaN,NaN,18
86,Iceland,2019,232,,3,18,6,,7,13,NaN,NaN,3,,10,4,5,12,6,3,2,2,12,,6,,7,NaN,7,12,NaN,1,1,NaN,2,7,2,10,15,3,5,9,8,5,NaN,7,3,8,,NaN,NaN,8
87,Czechia,2019,157,,3,7,3,,,5,NaN,NaN,7,,,,8,4,3,12,,,12,8,,1,4,NaN,3,7,NaN,,10,NaN,1,4,,12,1,10,8,,,4,NaN,12,6,1,,NaN,NaN,1
88,Denmark,2019,120,,,,,,,1,NaN,NaN,,,,,8,,5,7,5,,6,4,,1,16,NaN,7,,NaN,,4,NaN,3,12,,9,5,1,,,,2,NaN,7,,7,1,NaN,NaN,9
89,Cyprus,2019,109,7,,,,3,8,2,NaN,NaN,,,,,,,,18,,24,,,,,,NaN,,,NaN,6,,NaN,5,1,1,1,,,,8,12,,NaN,,5,7,,NaN,NaN,1
90,Malta,2019,107,,10,4,,14,12,,NaN,NaN,,3,3,,,1,,,3,5,,,,4,8,NaN,1,,NaN,,1,NaN,6,8,11,,4,,,6,,,NaN,1,,2,,NaN,NaN,
91,Slovenia,2019,105,,,,2,4,5,,NaN,NaN,10,,10,,7,7,,4,3,4,3,,,,,NaN,2,4,NaN,,,NaN,4,,2,,14,3,,6,,10,NaN,,1,,,NaN,NaN,
92,France,2019,105,3,4,13,5,,,18,NaN,NaN,3,7,2,,3,,,5,4,1,1,1,,6,5,NaN,,,NaN,,,NaN,,,,,6,2,1,,,1,NaN,3,4,,5,NaN,NaN,2
93,Albania,2019,90,,,,,7,,,NaN,NaN,1,2,,,,,,,,8,,,,,13,NaN,,,NaN,2,,NaN,15,,20,,,,2,3,7,,NaN,,,,10,NaN,NaN,
94,Serbia,2019,89,,,1,6,,,,NaN,NaN,12,,,,4,,,,,,,2,,,,NaN,,,NaN,,,NaN,24,,10,,7,,3,3,,,NaN,10,,,7,NaN,NaN,
95,San Marino,2019,77,10,,,,10,1,,NaN,NaN,2,,,,,,,10,,6,6,1,,,,NaN,,,NaN,1,8,NaN,8,,8,,,,,5,,1,NaN,,,,,NaN,NaN,
96,Estonia,2019,76,,,,,,,,NaN,NaN,1,,2,10,,8,,,,,,3,1,8,5,NaN,15,4,NaN,,,NaN,,,,2,,,,,,6,NaN,1,,10,,NaN,NaN,
97,Greece,2019,74,6,,,,6,3,3,NaN,NaN,,24,,,,,,,,,,,,,,NaN,,,NaN,4,,NaN,,,,,,,,10,18,,NaN,,,,,NaN,NaN,
98,Spain,2019,54,,,,,2,,6,NaN,NaN,,4,,1,,,7,,,4,,,,5,,NaN,,,NaN,,,NaN,,3,,,,12,,1,,2,NaN,,,,5,NaN,NaN,2
99,Israel,2019,35,,,,,,,,NaN,NaN,,5,3,,,,12,4,,,,,,,,NaN,,,NaN,,7,NaN,,,,,,,3,,1,,NaN,,,,,NaN,NaN,
100,Belarus,2019,31,,1,,,6,,,NaN,NaN,,,,,1,,,,,,8,,,,,NaN,,,NaN,,,NaN,,,,,,,,15,,,NaN,,,,,NaN,NaN,
101,Germany,2019,24,,,3,,,,,NaN,NaN,,,,8,,,,,,,,,2,,,NaN,,5,NaN,,,NaN,,,,,,,,,,,NaN,,,,6,NaN,NaN,
102,United Kingdom,2019,11,,2,,,,,,NaN,NaN,,,,,,,,1,,,2,,3,,,NaN,,,NaN,,,NaN,,,,2,,,,,,,NaN,,,,1,NaN,NaN,
103,Israel,2018,529,6,18,18,19,13,8,16,NaN,14,16,10,22,3,,19,24,15,11,10,16,15,13,,9,NaN,8,7,NaN,14,22,NaN,1,15,4,7,10,2,8,18,24,9,NaN,1,22,17,6,NaN,22,17
104,Cyprus,2018,436,20,19,7,1,14,15,11,NaN,15,8,,8,6,12,7,3,10,9,24,7,3,17,2,8,NaN,1,7,NaN,22,13,NaN,6,11,18,7,8,5,12,11,7,10,NaN,14,20,16,10,NaN,4,8
105,Austria,2018,342,2,7,5,,,10,15,NaN,16,,2,5,18,18,10,7,9,15,,11,17,5,13,7,NaN,7,15,NaN,1,3,NaN,,13,,16,12,8,12,,,4,NaN,12,8,12,8,NaN,7,12
106,Germany,2018,340,14,5,12,16,5,,7,NaN,6,3,3,3,24,6,1,8,7,,2,1,14,16,8,13,NaN,3,7,NaN,4,8,NaN,,24,3,18,11,8,8,4,14,10,NaN,4,13,6,18,NaN,,3
107,Italy,2018,308,24,3,,10,5,4,6,NaN,6,10,15,2,,7,10,10,5,12,9,6,,,5,,NaN,6,7,NaN,22,8,NaN,12,7,6,,5,14,6,7,12,14,NaN,10,10,,8,NaN,5,
108,Czechia,2018,281,1,14,4,15,6,11,8,NaN,11,9,13,,6,5,5,4,,8,7,8,11,7,12,,NaN,4,8,NaN,8,6,NaN,,6,9,4,4,,3,2,10,5,NaN,11,14,3,,NaN,14,5
109,Sweden,2018,274,4,12,12,8,2,1,8,NaN,2,,12,8,11,5,8,5,12,12,8,1,7,,10,1,NaN,12,12,NaN,7,,NaN,2,8,7,13,6,,,11,8,12,NaN,12,2,,5,NaN,6,2
110,Estonia,2018,245,4,2,8,2,3,,,NaN,2,,5,5,7,,12,7,16,2,7,,7,7,8,10,NaN,18,12,NaN,,13,NaN,5,4,12,,,19,3,9,5,3,NaN,5,3,,10,NaN,4,6
111,Denmark,2018,226,,,10,5,,10,5,NaN,,2,,7,,8,13,2,3,3,,24,12,2,6,12,NaN,5,10,NaN,2,,NaN,6,8,,10,6,2,2,7,6,4,NaN,7,,12,2,NaN,11,2
112,Moldova,2018,209,2,11,7,,11,6,,NaN,8,8,10,6,,1,,6,3,,11,2,,1,10,10,NaN,7,,NaN,,,NaN,8,,1,,,6,19,24,9,6,NaN,6,,,,NaN,6,4
113,Albania,2018,184,,,,9,12,7,2,NaN,7,5,6,6,,,,,4,,17,10,10,2,,12,NaN,,,NaN,,,NaN,20,,18,,7,10,,,,1,NaN,5,,,7,NaN,,7
114,Lithuania,2018,181,,,3,,,5,,NaN,10,12,6,1,,22,,,9,8,,5,,12,,,NaN,16,,NaN,5,,NaN,,7,,15,1,6,6,3,,,NaN,,,7,8,NaN,2,12
115,France,2018,173,12,9,,,,,11,NaN,5,6,4,,2,,9,,4,,5,,9,4,6,,NaN,10,15,NaN,8,,NaN,,,,8,3,5,,2,,,NaN,2,10,5,,NaN,19,
116,Bulgaria,2018,166,14,,,6,6,1,,NaN,,8,12,5,1,7,10,,6,,5,,,10,1,,NaN,,,NaN,9,11,NaN,4,,7,,2,7,5,,,2,NaN,,5,6,2,NaN,,14
117,Norway,2018,144,,7,1,,7,18,,NaN,,5,5,,8,6,,,,,3,7,4,,,12,NaN,2,,NaN,4,7,NaN,7,4,,,,,,5,,9,NaN,5,3,10,,NaN,,5
118,Ireland,2018,136,7,,12,8,,,4,NaN,1,3,,14,4,,2,1,,15,,3,4,,,5,NaN,,4,NaN,,,NaN,,4,,1,7,3,1,,4,,NaN,,6,4,6,NaN,,13
119,Ukraine,2018,130,,4,,,14,12,,NaN,1,,2,12,,,,4,8,,,,,,7,8,NaN,3,,NaN,,15,NaN,7,,4,,12,4,,8,5,,NaN,,,,,NaN,,
