,Year,To_Country,Participant,Song,Total_Points,Round,Rank,Winner,danceability,wins_up_to_the_year,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Albania,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Latvia,Lithuania,Luxembourg,Malta,"Moldova, Republic of",Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russian Federation,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,won_last_year,Total_Participations_Up_To_The_Year,Top3_Count
52,1961,France,Jean-Paul Mauric,Printemps (avril Carillonne),13,Final,4,0,0.578,2,0.333,1.0,-11.98,1.0,0.0718,0.669,6.96e-06,0.112,0.229,119.955,174000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0.0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,5.0,4.0
56,1961,Denmark,Dario Campeotto,Angelique,12,Final,5,0,0.367,0,0.354,9.0,-7.738,1.0,0.0305,0.9,2.71e-06,0.297,0.556,109.113,243109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.0,1.0
58,1961,Italy,Betty Curtis,Al Di Là,12,Final,5,0,0.221,0,0.231,8.0,-13.44,1.0,0.0335,0.903,0.0,0.169,0.16,78.421,247634.0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1.0
55,1961,Norway,Nora Brockstedt,Sommer I Palma,10,Final,7,0,0.312,0,0.144,5.0,-15.787,0.0,0.032,0.955,2e-05,0.348,0.203,95.415,217000.0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,0.0
49,1961,Yugoslavia,Ljiljana Petrovic,Neke Davne Zvezde,9,Final,8,0,0.175,0,0.304,7.0,-6.747,1.0,0.0304,0.932,1.65e-05,0.407,0.167,81.003,197320.0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0.0
45,1961,Spain,Conchita Bautista,Estando Contigo,8,Final,9,0,0.56,0,0.829,5.0,-7.676,1.0,0.0437,0.721,0.0,0.515,0.912,91.649,203665.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,0.0
44,1961,Netherlands,Greetje Kauffeld,Wat Een Dag,6,Final,10,0,0.634,2,0.753,2.0,-5.936,1.0,0.063,0.0849,0.0,0.118,0.4,154.869,176013.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,2.0
46,1961,Monaco,Colette Deréal,"Allons, Allons Les Enfants",6,Final,10,0,0.63,0,0.485,9.0,-11.597,0.0,0.0366,0.446,0.152,0.0886,0.483,119.919,176840.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3.0,1.0
48,1961,Finland,Laila Kinnunen,Valoa Ikkunassa,6,Final,10,0,0.347,0,0.272,10.0,-10.265,0.0,0.0318,0.972,0.000262,0.104,0.414,100.858,153933.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.0,0.0
59,1961,Germany,Lale Andersen,Einmal Sehen Wir Uns Wieder,3,Final,13,0,0.33,0,0.362,7.0,-7.855,1.0,0.0309,0.544,0.0,0.233,0.466,79.194,143013.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,0.0
50,1961,Sweden,Lill-Babs,"April, April",2,Final,14,0,0.527,0,0.509,10.0,-7.792,1.0,0.0434,0.561,0.0,0.11,0.649,122.657,152200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0
47,1961,Austria,Jimmy Makulis,Sehnsucht,1,Final,15,0,0.701,0,0.517,2.0,-7.951,1.0,0.0357,0.765,0.0,0.385,0.688,127.401,163733.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,0.0
54,1961,Belgium,Bob Benny,"September, Gouden Roos",1,Final,15,0,0.504,0,0.349,7.0,-14.401,1.0,0.0273,0.625,7.99e-06,0.104,0.533,74.414,172907.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0
75,1962,France,Isabelle Aubret,Un Premier Amour,26,Final,1,1,0.381,3,0.316,2.0,-11.192,0.0,0.0337,0.833,3.26e-06,0.105,0.464,97.451,152827.0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0.0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,3,3,0,0,1,0,6.0,5.0
74,1962,Monaco,François Deguelt,Dis Rien,13,Final,2,0,0.334,0,0.278,11.0,-11.54,0.0,0.035,0.807,0.0356,0.685,0.187,114.629,192380.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0,3,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,2.0
72,1962,Luxembourg,Camillo Felgen,Petit Bonhomme,11,Final,3,0,0.887,1,0.658,0.0,-7.183,0.0,0.0547,0.0791,9.11e-06,0.0698,0.816,116.019,214013.0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,5.0,2.0
70,1962,Yugoslavia,Lola Novakovic,Ne Pali Svetlo U Sumrak,10,Final,4,0,0.44,0,0.472,3.0,-5.283,1.0,0.0324,0.878,0.0,0.3,0.316,104.176,185613.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2.0,0.0
